wavelength(mum)	4_pi_J_wavelength (erg/cm^2/sec)

0.099	0.002
0.102	0.002
0.104	0.003
0.109	0.003
0.119	0.004
0.131	0.004
0.142	0.004
0.158	0.004
0.171	0.004
0.187	0.003
0.210	0.003
0.230	0.002
0.237	0.002
0.242	0.002
0.259	0.002
0.265	0.003
0.281	0.003
0.299	0.004
0.320	0.005
0.335	0.006
0.366	0.008
0.392	0.010
0.429	0.013
0.445	0.015
0.484	0.018
0.519	0.022
0.580	0.027
0.675	0.036
0.755	0.042
0.852	0.049
0.989	0.052
1.133	0.051
1.297	0.045
1.495	0.040
1.622	0.035
1.833	0.028
2.025	0.024
2.167	0.021
2.409	0.016
2.635	0.013
2.847	0.010
3.120	0.008
3.291	0.007
3.593	0.006
3.819	0.005
4.060	0.004
4.539	0.003
4.932	0.003
5.273	0.002
5.823	0.002
6.487	0.001
7.674	9.688e-4
8.522	8.670e-4
9.844	8.000e-4
11.445	6.912e-4
12.712	5.972e-4
14.570	4.927e-4
16.059	4.324e-4
17.151	3.994e-4
18.617	3.578e-4
19.490	3.554e-4
20.230	3.964e-4
21.178	4.841e-4
23.187	6.431e-4
25.170	8.023e-4
27.559	0.001
29.916	0.001
32.504	0.002
36.729	0.003
41.822	0.004
48.256	0.006
52.937	0.008
56.652	0.011
60.743	0.014
66.197	0.018
73.588	0.022
81.191	0.028
92.447	0.036
108.207	0.043
124.035	0.047
143.118	0.051
168.972	0.053
203.708	0.050
246.323	0.042
280.185	0.037
333.673	0.028
377.048	0.023
445.999	0.018
488.800	0.014
556.043	0.010
644.127	0.007
750.456	0.005
834.324	0.003
914.391	0.003
954.397	0.002
