wavelength(mum) 4_pi_J_wavelength (erg/cm^2/sec)

0.100000 0	             
0.125893 0     
0.158489 0      
0.199526 0
0.295	0
0.314	0
0.336	0
0.359	0
0.379	0
0.414	0
0.433	0
0.481	0
0.593	0
0.606	0
0.685	0
0.664	0
0.664	0
0.694	0
0.732	0
0.813	0
0.871	0
0.999	0
1.169	0
1.273	0
1.322	0
1.416	0
1.563	0
1.747	0
1.877	1.013e-5
1.919	1.401e-5
2.146	1.918e-5
2.193	2.691e-5
2.244	4.181e-5
2.327	6.281e-5
2.433	8.469e-5
2.433	1.163e-4
2.545	1.808e-4
2.787	2.670e-4
2.917	3.633e-4
3.054	4.621e-4
3.318	6.483e-4
3.551	9.003e-4
4.039	9.893e-4
4.805	8.509e-4
5.945	6.758e-4
7.196	4.952e-4
7.641	4.131e-4
8.178	3.130e-4
8.367	2.281e-4
8.561	1.650e-4
8.581	1.240e-4
8.61	9.043e-5
8.627	5.985e-5
8.647	4.298e-5
8.826	3.129e-5
8.962	2.261e-5
8.97	1.696e-5
8.99	1.219e-5
9.170	1.038e-5
10.050	9.999e-6
10.511	1.116e-5
10.754	1.994e-5
10.794	3.086e-5
10.993	4.456e-5
11.508	6.018e-5
11.51	7.129e-5
12.047	7.711e-5
13.091	7.282e-5
15.221	6.024e-5
16.555	4.322e-5
16.655	3.029e-5
17.331	2.157e-5
17.733	1.666e-5
17.783	1.366e-5
18.006	1.079e-5
19.713	1.009e-5
22.770	1.009e-5
24.366	1.286e-5
26.100	1.904e-5
26.300	3.917e-5
26.911	6.320e-5
28.144	1.035e-4
29.239	1.431e-4
32.045	2.128e-4
33.482	3.098e-4
35.052	4.482e-4
37.508	6.298e-4
39.230	9.427e-4
41.700	0.001
45.308	0.002
47.433	0.003
50.757	0.003
56.978	0.005
65.195	0.007
70.842	0.009
78.834	0.012
90.365	0.017
105.165	0.023
117.701	0.028
138.963	0.033
164.066	0.036
203.726	0.038
233.525	0.037
259.355	0.036
325.822	0.029
373.097	0.024
493.470	0.014
658.292	0.007
808.231	0.003
948.855	0.002
