wavelen(micron) a(micron) Qabs Qext Qpol
0.100000 0.001000 0.097630 0.110427 0.038360
0.100000 0.001062 0.103738 0.117301 0.040751
0.100000 0.001127 0.110090 0.124593 0.043277
0.100000 0.001197 0.117012 0.132364 0.045984
0.100000 0.001270 0.124259 0.140609 0.048856
0.100000 0.001349 0.132072 0.149375 0.051905
0.100000 0.001432 0.140202 0.158654 0.055153
0.100000 0.001520 0.149106 0.168641 0.058622
0.100000 0.001614 0.158404 0.179255 0.062291
0.100000 0.001714 0.168369 0.190511 0.066227
0.100000 0.001819 0.178938 0.202557 0.070405
0.100000 0.001932 0.190192 0.215336 0.074847
0.100000 0.002051 0.202241 0.228987 0.079614
0.100000 0.002177 0.215011 0.243543 0.084668
0.100000 0.002311 0.228680 0.259066 0.090046
0.100000 0.002454 0.243310 0.275670 0.095868
0.100000 0.002605 0.258856 0.293461 0.102017
0.100000 0.002766 0.275570 0.312544 0.108642
0.100000 0.002937 0.293279 0.332806 0.115671
0.100000 0.003118 0.312279 0.354680 0.123265
0.100000 0.003310 0.332664 0.378121 0.131443
0.100000 0.003514 0.354427 0.403277 0.140140
0.100000 0.003731 0.377767 0.430372 0.149514
0.100000 0.003961 0.402755 0.459513 0.159559
0.100000 0.004205 0.429682 0.490976 0.170422
0.100000 0.004465 0.458420 0.524917 0.182048
0.100000 0.004740 0.489349 0.561675 0.194612
0.100000 0.005033 0.522541 0.601439 0.208111
0.100000 0.005343 0.558172 0.644603 0.222676
0.100000 0.005673 0.596344 0.691417 0.238390
0.100000 0.006022 0.637370 0.742383 0.255242
0.100000 0.006394 0.681389 0.797839 0.273456
0.100000 0.006788 0.728409 0.858335 0.292876
0.100000 0.007207 0.778373 0.923694 0.313528
0.100000 0.007651 0.831674 0.995162 0.335514
0.100000 0.008123 0.888044 1.072432 0.358614
0.100000 0.008624 0.947260 1.155908 0.382627
0.100000 0.009156 1.008959 1.246213 0.407094
0.100000 0.009721 1.072802 1.342079 0.431505
0.100000 0.010321 1.137792 1.444589 0.455260
0.100000 0.010957 1.202883 1.551321 0.477165
0.100000 0.011633 1.267674 1.661634 0.496216
0.100000 0.012350 1.330616 1.773592 0.510907
0.100000 0.013112 1.390462 1.884840 0.520254
0.100000 0.013921 1.446740 1.994426 0.523186
0.100000 0.014779 1.498654 2.100070 0.518736
0.100000 0.015691 1.545775 2.198112 0.506821
0.100000 0.016659 1.588746 2.288485 0.487583
0.100000 0.017686 1.627798 2.371432 0.462519
0.100000 0.018777 1.662152 2.445686 0.433392
0.100000 0.019935 1.692483 2.513010 0.402254
0.100000 0.021165 1.718267 2.576085 0.370447
0.100000 0.022470 1.737475 2.633732 0.339034
0.100000 0.023856 1.749008 2.687312 0.307726
0.100000 0.025327 1.751977 2.736808 0.275390
0.100000 0.026889 1.747053 2.782450 0.241001
0.100000 0.028548 1.733023 2.822243 0.205539
0.100000 0.030309 1.714875 2.856622 0.171857
0.100000 0.032178 1.693218 2.883147 0.143137
0.100000 0.034162 1.668535 2.901370 0.119672
0.100000 0.036270 1.640731 2.912275 0.099527
0.100000 0.038507 1.609323 2.915786 0.079802
0.100000 0.040881 1.577366 2.915240 0.060537
0.100000 0.043403 1.544562 2.913173 0.044066
0.100000 0.046080 1.511350 2.907288 0.031004
0.100000 0.048922 1.476980 2.897017 0.019754
0.100000 0.051939 1.443353 2.883407 0.009093
0.100000 0.055143 1.411389 2.868969 0.001169
0.100000 0.058544 1.379584 2.854948 0.009046
0.100000 0.062155 1.347772 2.839085 0.016892
0.100000 0.065988 1.316961 2.821923 0.023745
0.100000 0.070058 1.287900 2.805092 0.029720
0.100000 0.074379 1.258583 2.787802 0.035153
0.100000 0.078966 1.230654 2.770152 0.039457
0.100000 0.083837 1.203819 2.752083 0.042965
0.100000 0.089008 1.176920 2.734269 0.045820
0.100000 0.094497 1.150941 2.715681 0.047812
0.100000 0.100326 1.126476 2.698434 0.049273
0.100000 0.106513 1.102180 2.680224 0.050177
0.100000 0.113083 1.078052 2.662538 0.050615
0.100000 0.120057 1.055783 2.645555 0.050626
0.100000 0.127462 1.033696 2.627957 0.050217
0.100000 0.135324 1.013036 2.611342 0.049548
0.100000 0.143670 0.992615 2.594746 0.048700
0.100000 0.152531 0.973355 2.578471 0.047700
0.100000 0.161939 0.954692 2.562426 0.046609
0.100000 0.171927 0.936990 2.547128 0.045439
0.100000 0.182531 0.919821 2.532782 0.044169
0.100000 0.193788 0.903348 2.518424 0.042844
0.100000 0.205741 0.887430 2.505157 0.041466
0.100000 0.218430 0.872246 2.491850 0.040054
0.100000 0.231902 0.857525 2.479586 0.038602
0.100000 0.246205 0.843441 2.467712 0.037160
0.100000 0.261390 0.829872 2.457577 0.035747
0.100000 0.277512 0.816608 2.447554 0.034386
0.100000 0.294628 0.803814 2.439362 0.033073
0.100000 0.312800 0.791103 2.431230 0.031728
0.100000 0.332093 0.778575 2.425442 0.030378
0.100000 0.352575 0.766119 2.421329 0.029043
0.100000 0.374321 0.753542 2.419252 0.027710
0.100000 0.397408 0.740923 2.419350 0.026429
0.100000 0.421919 0.728131 2.422726 0.025301
0.100000 0.447941 0.715026 2.429168 0.024525
0.100000 0.475569 0.701263 2.440405 0.024032
0.100000 0.504900 0.899362 2.455724 0.023681
0.100000 0.536041 0.877733 2.478538 0.023746
0.100000 0.569102 0.853588 2.506640 0.023931
0.100000 0.604203 0.826391 2.541601 0.024280
0.100000 0.641468 0.795449 2.583844 0.024810
0.100000 0.681032 0.759940 2.633776 0.025537
0.100000 0.723036 0.717115 2.689838 0.026378
0.100000 0.767630 0.666707 2.752343 0.027531
0.100000 0.814976 0.609618 2.819022 0.029660
0.100000 0.865241 0.546231 2.889394 0.032042
0.100000 0.918606 0.474957 2.962261 0.034016
0.100000 0.975263 0.356491 3.032873 0.029966
0.100000 1.035414 0.789038 3.232983 0.105792
0.100000 1.099275 0.816050 3.126014 0.093951
0.100000 1.167075 0.849152 3.054277 0.084450
0.100000 1.239056 0.868249 2.826381 0.063223
0.100000 1.315478 0.877869 2.483700 0.033293
0.100000 1.396612 0.884641 2.185698 0.016837
0.100000 1.482751 0.899632 2.188061 0.048889
0.100000 1.574202 0.916497 2.385603 0.117075
0.100000 1.671294 0.929248 2.521047 0.132744
0.100000 1.774374 0.938663 2.660786 0.111237
0.100000 1.883812 0.946047 2.780668 0.073899
0.100000 2.000000 0.954699 2.731340 0.068220
0.107866 0.001000 0.075737 0.085835 0.030284
0.107866 0.001062 0.080460 0.091176 0.032173
0.107866 0.001127 0.085419 0.096824 0.034166
0.107866 0.001197 0.090772 0.102872 0.036306
0.107866 0.001270 0.096413 0.109292 0.038574
0.107866 0.001349 0.102446 0.116120 0.040986
0.107866 0.001432 0.108774 0.123309 0.043537
0.107866 0.001520 0.115657 0.131085 0.046285
0.107866 0.001614 0.122892 0.139339 0.049191
0.107866 0.001714 0.130620 0.148056 0.052292
0.107866 0.001819 0.138783 0.157407 0.055593
0.107866 0.001932 0.147561 0.167350 0.059117
0.107866 0.002051 0.156888 0.177968 0.062875
0.107866 0.002177 0.166800 0.189274 0.066877
0.107866 0.002311 0.177404 0.201304 0.071134
0.107866 0.002454 0.188752 0.214249 0.075746
0.107866 0.002605 0.200819 0.228080 0.080647
0.107866 0.002766 0.213795 0.242873 0.085903
0.107866 0.002937 0.227546 0.258652 0.091497
0.107866 0.003118 0.242285 0.275645 0.097537
0.107866 0.003310 0.258161 0.293871 0.104021
0.107866 0.003514 0.275089 0.313432 0.110949
0.107866 0.003731 0.293276 0.334582 0.118474
0.107866 0.003961 0.312769 0.357303 0.126527
0.107866 0.004205 0.333744 0.381849 0.135257
0.107866 0.004465 0.356264 0.408355 0.144663
0.107866 0.004740 0.380475 0.437140 0.154859
0.107866 0.005033 0.406561 0.468349 0.165886
0.107866 0.005343 0.434749 0.502311 0.177861
0.107866 0.005673 0.464999 0.539274 0.190880
0.107866 0.006022 0.497697 0.579716 0.205041
0.107866 0.006394 0.533030 0.623991 0.220445
0.107866 0.006788 0.571017 0.672475 0.237203
0.107866 0.007207 0.611919 0.725543 0.255368
0.107866 0.007651 0.656017 0.783998 0.275142
0.107866 0.008123 0.703357 0.848162 0.296534
0.107866 0.008624 0.753974 0.918612 0.319604
0.107866 0.009156 0.807945 0.996066 0.344270
0.107866 0.009721 0.865158 1.080414 0.370399
0.107866 0.010321 0.925512 1.172851 0.397888
0.107866 0.010957 0.988166 1.272254 0.425972
0.107866 0.011633 1.053274 1.379141 0.454307
0.107866 0.012350 1.119684 1.492629 0.481789
0.107866 0.013112 1.186508 1.611585 0.507464
0.107866 0.013921 1.253338 1.734405 0.529807
0.107866 0.014779 1.319311 1.860138 0.547662
0.107866 0.015691 1.382543 1.983921 0.558993
0.107866 0.016659 1.443727 2.104203 0.562513
0.107866 0.017686 1.500578 2.219655 0.557280
0.107866 0.018777 1.553225 2.326118 0.543230
0.107866 0.019935 1.600844 2.423487 0.520601
0.107866 0.021165 1.642525 2.512366 0.490461
0.107866 0.022470 1.678142 2.591891 0.455930
0.107866 0.023856 1.705883 2.663004 0.419372
0.107866 0.025327 1.726152 2.726913 0.383457
0.107866 0.026889 1.738009 2.785380 0.348720
0.107866 0.028548 1.741663 2.838864 0.314111
0.107866 0.030309 1.737800 2.886587 0.278164
0.107866 0.032178 1.726109 2.926989 0.241053
0.107866 0.034162 1.707985 2.958653 0.205048
0.107866 0.036270 1.685058 2.979880 0.174177
0.107866 0.038507 1.658299 2.989984 0.149517
0.107866 0.040881 1.628872 2.990353 0.129064
0.107866 0.043403 1.596121 2.983536 0.109835
0.107866 0.046080 1.562176 2.972899 0.091201
0.107866 0.048922 1.527879 2.960197 0.075293
0.107866 0.051939 1.493834 2.946169 0.062777
0.107866 0.055143 1.459722 2.928921 0.052367
0.107866 0.058544 1.426310 2.909220 0.046817
0.107866 0.062155 1.394779 2.889433 0.041935
0.107866 0.065988 1.364222 2.870315 0.037156
0.107866 0.070058 1.334158 2.851050 0.032073
0.107866 0.074379 1.304731 2.831120 0.027445
0.107866 0.078966 1.276683 2.811422 0.022914
0.107866 0.083837 1.248943 2.791920 0.018389
0.107866 0.089008 1.221638 2.772028 0.015842
0.107866 0.094497 1.195100 2.751522 0.019336
0.107866 0.100326 1.169789 2.732092 0.023415
0.107866 0.106513 1.144850 2.712268 0.026419
0.107866 0.113083 1.120472 2.693023 0.028866
0.107866 0.120057 1.096767 2.674690 0.030752
0.107866 0.127462 1.074390 2.655940 0.032171
0.107866 0.135324 1.052878 2.638224 0.033154
0.107866 0.143670 1.031627 2.620607 0.033709
0.107866 0.152531 1.011407 2.603675 0.033949
0.107866 0.161939 0.991897 2.586669 0.033953
0.107866 0.171927 0.973224 2.570240 0.033780
0.107866 0.182531 0.955163 2.554740 0.033472
