wavelen(micron) a(micron) Qabs Qext Qpol
0.100000 0.001000 0.177829 0.177829 0.000000
0.100000 0.001062 0.188798 0.188798 0.000000
0.100000 0.001127 0.200443 0.200444 0.000000
0.100000 0.001197 0.212807 0.212808 0.000000
0.100000 0.001270 0.225934 0.225934 0.000000
0.100000 0.001349 0.239870 0.239871 0.000000
0.100000 0.001432 0.254666 0.254668 0.000000
0.100000 0.001520 0.270376 0.270377 0.000000
0.100000 0.001614 0.287054 0.287057 0.000000
0.100000 0.001714 0.304762 0.304765 0.000000
0.100000 0.001819 0.323563 0.323566 0.000000
0.100000 0.001932 0.343524 0.343528 0.000000
0.100000 0.002051 0.364717 0.364722 0.000000
0.100000 0.002177 0.387218 0.387225 0.000000
0.100000 0.002311 0.411108 0.411117 0.000000
0.100000 0.002454 0.436473 0.436484 0.000000
0.100000 0.002605 0.463404 0.463418 0.000000
0.100000 0.002766 0.491998 0.492016 0.000000
0.100000 0.002937 0.522358 0.522381 0.000000
0.100000 0.003118 0.554594 0.554623 0.000000
0.100000 0.003310 0.588820 0.588858 0.000000
0.100000 0.003514 0.625162 0.625210 0.000000
0.100000 0.003731 0.663750 0.663811 0.000000
0.100000 0.003961 0.704723 0.704801 0.000000
0.100000 0.004205 0.748229 0.748328 0.000000
0.100000 0.004465 0.794425 0.794551 0.000000
0.100000 0.004740 0.843478 0.843640 0.000000
0.100000 0.005033 0.889495 0.890094 0.218730
0.100000 0.005343 0.891986 0.896939 0.236140
0.100000 0.005673 0.903107 0.913878 0.255260
0.100000 0.006022 0.922657 0.941115 0.276249
0.100000 0.006394 0.950476 0.979031 0.299276
0.100000 0.006788 0.986461 1.028128 0.324475
0.100000 0.007207 1.030391 1.089002 0.351891
0.100000 0.007651 1.082057 1.162341 0.381495
0.100000 0.008123 1.141034 1.248854 0.413124
0.100000 0.008624 1.206693 1.349104 0.446344
0.100000 0.009156 1.278009 1.463388 0.480376
0.100000 0.009721 1.353608 1.591562 0.514071
0.100000 0.010321 1.431572 1.732850 0.545811
0.100000 0.010957 1.509366 1.885183 0.573377
0.100000 0.011633 1.584163 2.045859 0.594170
0.100000 0.012350 1.652678 2.209898 0.605345
0.100000 0.013112 1.711708 2.371576 0.604319
0.100000 0.013921 1.758609 2.524460 0.589420
0.100000 0.014779 1.791377 2.661187 0.560512
0.100000 0.015691 1.809935 2.776216 0.519930
0.100000 0.016659 1.815748 2.866194 0.471853
0.100000 0.017686 1.811826 2.931083 0.422172
0.100000 0.018777 1.802686 2.974503 0.377005
0.100000 0.019935 1.793052 3.003792 0.340899
0.100000 0.021165 1.785858 3.026361 0.314921
0.100000 0.022470 1.781076 3.047756 0.296383
0.100000 0.023856 1.775154 3.069191 0.279300
0.100000 0.025327 1.762486 3.086383 0.256660
0.100000 0.026889 1.738600 3.092324 0.225154
0.100000 0.028548 1.704104 3.082896 0.188437
0.100000 0.030309 1.664241 3.059291 0.154680
0.100000 0.032178 1.626219 3.028356 0.130985
0.100000 0.034162 1.593964 2.997981 0.117034
0.100000 0.036270 1.565398 2.970811 0.105540
0.100000 0.038507 1.535827 2.944588 0.089440
0.100000 0.040881 1.502970 2.916150 0.068796
0.100000 0.043403 1.468668 2.885312 0.050403
0.100000 0.046080 1.435967 2.854099 0.038485
0.100000 0.048922 1.405229 2.823433 0.029588
0.100000 0.051939 1.375202 2.792889 0.019061
0.100000 0.055143 1.345515 2.762296 0.007630
0.100000 0.058544 1.316453 2.731821 0.000032
0.100000 0.062155 1.287612 2.700803 0.007476
0.100000 0.065988 1.259534 2.669578 0.013898
0.100000 0.070058 1.232889 2.639126 0.019662
0.100000 0.074379 1.206713 2.609085 0.023846
0.100000 0.078966 1.180843 2.578860 0.027357
0.100000 0.083837 1.156569 2.549601 0.030361
0.100000 0.089008 1.132905 2.520945 0.032777
0.100000 0.094497 1.107349 2.490186 0.034520
0.100000 0.100326 1.085665 2.463143 0.035716
0.100000 0.106513 1.064585 2.436560 0.036436
0.100000 0.113083 1.044395 2.410795 0.036759
0.100000 0.120057 1.024961 2.385758 0.036810
0.100000 0.127462 1.006145 2.361436 0.036561
0.100000 0.135324 0.988163 2.338112 0.036059
0.100000 0.143670 0.970934 2.315499 0.035439
0.100000 0.152531 0.954280 2.293772 0.034782
0.100000 0.161939 0.938320 2.272919 0.034286
0.100000 0.171927 0.923069 2.252969 0.033919
0.100000 0.182531 0.908292 2.233867 0.033385
0.100000 0.193788 0.894021 2.215537 0.032686
0.100000 0.205741 0.880097 2.197906 0.031950
0.100000 0.218430 0.866529 2.181061 0.031163
0.100000 0.231902 0.918876 2.376670 0.000000
0.100000 0.246205 0.908939 2.363293 0.000000
0.100000 0.261390 0.899116 2.350023 0.000000
0.100000 0.277512 0.889841 2.337370 0.000000
0.100000 0.294628 0.880857 2.325037 0.000000
0.100000 0.312800 0.872176 2.313042 0.000000
0.100000 0.332093 0.863985 2.301619 0.000000
0.100000 0.352575 0.855904 2.290308 0.000000
0.100000 0.374321 0.848292 2.279554 0.000000
0.100000 0.397408 0.840909 2.269064 0.000000
0.100000 0.421919 0.833797 2.258896 0.000000
0.100000 0.447941 0.827089 2.249220 0.000000
0.100000 0.475569 0.820483 2.239657 0.000000
0.100000 0.504900 0.814278 2.230591 0.000000
0.100000 0.536041 0.808251 2.221739 0.000000
0.100000 0.569102 0.802466 2.213187 0.000000
0.100000 0.604203 0.797011 2.205054 0.000000
0.100000 0.641468 0.791652 2.197031 0.000000
0.100000 0.681032 0.786631 2.189446 0.000000
0.100000 0.723036 0.781748 2.182031 0.000000
0.100000 0.767630 0.777079 2.174892 0.000000
0.100000 0.814976 0.772678 2.168104 0.000000
0.100000 0.865241 0.768363 2.161422 0.000000
0.100000 0.918606 0.764334 2.155122 0.000000
0.100000 0.975263 0.760409 2.148952 0.000000
0.100000 1.035414 0.756671 2.143033 0.000000
0.100000 1.099275 0.753148 2.137405 0.000000
0.100000 1.167075 0.749703 2.131876 0.000000
0.100000 1.239056 0.746495 2.126675 0.000000
0.100000 1.315478 0.743364 2.121572 0.000000
0.100000 1.396612 0.740396 2.116694 0.000000
0.100000 1.482751 0.737598 2.112054 0.000000
0.100000 1.574202 0.734869 2.107504 0.000000
0.100000 1.671294 0.732335 2.103234 0.000000
0.100000 1.774374 0.729857 2.099036 0.000000
0.100000 1.883812 0.727517 2.095035 0.000000
0.100000 2.000000 0.725311 2.091227 0.000000
0.107866 0.001000 0.145316 0.145318 0.000000
0.107866 0.001062 0.153527 0.153527 0.000000
0.107866 0.001127 0.163060 0.163061 0.000000
0.107866 0.001197 0.173118 0.173118 0.000000
0.107866 0.001270 0.183796 0.183796 0.000000
0.107866 0.001349 0.195133 0.195133 0.000000
0.107866 0.001432 0.207169 0.207170 0.000000
0.107866 0.001520 0.219948 0.219949 0.000000
0.107866 0.001614 0.233515 0.233516 0.000000
0.107866 0.001714 0.247920 0.247921 0.000000
0.107866 0.001819 0.263213 0.263215 0.000000
0.107866 0.001932 0.279449 0.279452 0.000000
0.107866 0.002051 0.296688 0.296691 0.000000
0.107866 0.002177 0.315005 0.315009 0.000000
0.107866 0.002311 0.334441 0.334446 0.000000
0.107866 0.002454 0.355073 0.355080 0.000000
0.107866 0.002605 0.376980 0.376988 0.000000
0.107866 0.002766 0.400238 0.400249 0.000000
0.107866 0.002937 0.424933 0.424947 0.000000
0.107866 0.003118 0.451152 0.451170 0.000000
0.107866 0.003310 0.478991 0.479013 0.000000
0.107866 0.003514 0.508549 0.508577 0.000000
0.107866 0.003731 0.539933 0.539969 0.000000
0.107866 0.003961 0.573256 0.573302 0.000000
0.107866 0.004205 0.608638 0.608697 0.000000
0.107866 0.004465 0.646208 0.646283 0.000000
0.107866 0.004740 0.686100 0.686196 0.000000
0.107866 0.005033 0.720861 0.721216 0.120077
0.107866 0.005343 0.698961 0.701902 0.130120
0.107866 0.005673 0.684968 0.691376 0.141303
0.107866 0.006022 0.678566 0.689570 0.153785
0.107866 0.006394 0.679532 0.696592 0.167753
0.107866 0.006788 0.687745 0.712724 0.183425
0.107866 0.007207 0.703121 0.738409 0.201004
0.107866 0.007651 0.725685 0.774286 0.220730
0.107866 0.008123 0.755442 0.821168 0.242829
0.107866 0.008624 0.792428 0.880021 0.267492
0.107866 0.009156 0.836611 0.951948 0.294837
0.107866 0.009721 0.887863 1.038048 0.324846
0.107866 0.010321 0.945870 1.139417 0.357334
0.107866 0.010957 1.009912 1.256603 0.391706
0.107866 0.011633 1.079076 1.390089 0.427011
0.107866 0.012350 1.151635 1.538631 0.461567
0.107866 0.013112 1.225479 1.700031 0.493124
0.107866 0.013921 1.298107 1.870652 0.518945
0.107866 0.014779 1.366620 2.044536 0.536044
0.107866 0.015691 1.429053 2.215549 0.542369
0.107866 0.016659 1.484495 2.377962 0.537391
0.107866 0.017686 1.533183 2.527522 0.522397
0.107866 0.018777 1.575919 2.661926 0.499690
0.107866 0.019935 1.613052 2.780469 0.471245
0.107866 0.021165 1.642958 2.882014 0.437892
0.107866 0.022470 1.663240 2.964789 0.401145
0.107866 0.023856 1.672657 3.027729 0.364698
0.107866 0.025327 1.673013 3.072388 0.333411
0.107866 0.026889 1.669211 3.103543 0.308957
0.107866 0.028548 1.665277 3.125585 0.288254
0.107866 0.030309 1.661803 3.139705 0.265990
0.107866 0.032178 1.653459 3.140593 0.238279
0.107866 0.034162 1.633414 3.119429 0.206040
0.107866 0.036270 1.602738 3.075162 0.175029
0.107866 0.038507 1.569942 3.017763 0.151556
0.107866 0.040881 1.542124 2.960149 0.138153
0.107866 0.043403 1.516695 2.906727 0.129493
0.107866 0.046080 1.486799 2.852619 0.115718
0.107866 0.048922 1.453742 2.798683 0.097460
0.107866 0.051939 1.422720 2.751531 0.084404
0.107866 0.055143 1.394471 2.713755 0.078273
0.107866 0.058544 1.366469 2.681962 0.070028
0.107866 0.062155 1.339111 2.655776 0.062685
0.107866 0.065988 1.313015 2.634084 0.056499
0.107866 0.070058 1.286932 2.612155 0.051553
0.107866 0.074379 1.261001 2.588054 0.045821
0.107866 0.078966 1.235958 2.562326 0.040266
0.107866 0.083837 1.211371 2.534313 0.036067
0.107866 0.089008 1.186968 2.504749 0.032910
0.107866 0.094497 1.161700 2.473888 0.029871
0.107866 0.100326 1.139663 2.446936 0.027025
0.107866 0.106513 1.118174 2.421510 0.024174
0.107866 0.113083 1.097836 2.397581 0.021329
0.107866 0.120057 1.078128 2.374321 0.018745
0.107866 0.127462 1.059133 2.351316 0.016541
0.107866 0.135324 1.040888 2.328747 0.014681
0.107866 0.143670 1.023242 2.306679 0.013257
0.107866 0.152531 1.006275 2.285543 0.012036
0.107866 0.161939 0.990067 2.265471 0.011079
0.107866 0.171927 0.974502 2.246146 0.011647
0.107866 0.182531 0.959453 2.227477 0.012131
0.107866 0.193788 0.945083 2.209738 0.012611
0.107866 0.205741 0.931198 2.192792 0.013080
0.107866 0.218430 0.917831 2.176742 0.013428
0.107866 0.231902 0.962065 2.364681 0.000000
0.107866 0.246205 0.952145 2.352034 0.000000
0.107866 0.261390 0.942340 2.339490 0.000000
0.107866 0.277512 0.933094 2.327550 0.000000
0.107866 0.294628 0.924141 2.315918 0.000000
0.107866 0.312800 0.915488 2.304606 0.000000
0.107866 0.332093 0.907329 2.293841 0.000000
0.107866 0.352575 0.899277 2.283177 0.000000
0.107866 0.374321 0.891693 2.273042 0.000000
0.107866 0.397408 0.884336 2.263153 0.000000
0.107866 0.421919 0.877244 2.253561 0.000000
0.107866 0.447941 0.870552 2.244428 0.000000
0.107866 0.475569 0.863956 2.235394 0.000000
0.107866 0.504900 0.857754 2.226821 0.000000
0.107866 0.536041 0.851724 2.218442 0.000000
0.107866 0.569102 0.845928 2.210337 0.000000
0.107866 0.604203 0.840454 2.202616 0.000000
0.107866 0.641468 0.835069 2.194992 0.000000
0.107866 0.681032 0.830014 2.187770 0.000000
0.107866 0.723036 0.825090 2.180700 0.000000
0.107866 0.767630 0.820373 2.173881 0.000000
0.107866 0.814976 0.815915 2.167383 0.000000
0.107866 0.865241 0.811539 2.160977 0.000000
0.107866 0.918606 0.807439 2.154921 0.000000
0.107866 0.975263 0.803438 2.148983 0.000000
0.107866 1.035414 0.799618 2.143272 0.000000
0.107866 1.099275 0.796008 2.137829 0.000000
0.107866 1.167075 0.792470 2.132474 0.000000
0.107866 1.239056 0.789165 2.127422 0.000000
0.107866 1.315478 0.785933 2.122459 0.000000
0.107866 1.396612 0.782860 2.117702 0.000000
0.107866 1.482751 0.779953 2.113166 0.000000
0.107866 1.574202 0.777112 2.108712 0.000000
0.107866 1.671294 0.774465 2.104519 0.000000
0.107866 1.774374 0.771871 2.100391 0.000000
0.107866 1.883812 0.769414 2.096448 0.000000
0.107866 2.000000 0.767090 2.092686 0.000000
0.116350 0.001000 0.114997 0.115000 0.000000
0.116350 0.001062 0.121090 0.121090 0.000000
