wavelength(mum) 4_pi_J_wavelength (erg/cm^2/sec)

0.100000 0.	             
0.125893 0.       
0.158489 0.       
0.199526 0. 
0.235	1.035e-5
0.235	1.516e-5
0.240	2.310e-5
0.246	3.241e-5
0.257	4.892e-5
0.269	8.682e-5
0.295	1.463e-4
0.326	2.279e-4
0.348	3.593e-4
0.381	5.226e-4
0.417	7.434e-4
0.464	0.001
0.508	0.002
0.569	0.003
0.628	0.004
0.672	0.006
0.753	0.008
0.836	0.011
0.915	0.014
1.023	0.017
1.158	0.019
1.335	0.020
1.687	0.017
1.930	0.015
2.143	0.013
2.433	0.011
2.682	0.009
3.127	0.007
3.398	0.006
3.753	0.005
4.069	0.004
4.322	0.003
4.736	0.003
5.186	0.002
5.950	0.001
6.521	0.001
7.376	8.717e-4
7.961	6.943e-4
8.768	6.219e-4
9.374	5.300e-4
9.739	4.863e-4
10.481	5.266e-4
11.910	5.676e-4
13.316	5.198e-4
15.263	4.202e-4
16.474	3.400e-4
18.176	2.573e-4
19.174	2.072e-4
20.994	2.455e-4
22.466	3.473e-4
25.000	4.805e-4
28.006	7.207e-4
30.432	9.851e-4
33.353	0.001
37.080	0.002
39.679	0.003
43.072	0.003
46.134	0.005
48.202	0.006
51.634	0.008
56.102	0.010
60.214	0.012
63.945	0.016
68.627	0.020
75.490	0.023
80.251	0.027
91.283	0.034
109.540	0.042
121.657	0.047
146.969	0.051
183.043	0.052
216.090	0.048
257.585	0.040
307.047	0.032
371.280	0.023
458.431	0.016
541.800	0.011
655.759	0.007
763.944	0.004
945.206	0.002
